+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/suzukijun1/icon                    | 0.072  | 0.072  | 0.072   | 0.072  | 0.072  | 0.072  | 0.072  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/ainoue0/icon                       | 0.104  | 0.104  | 0.104   | 0.104  | 0.104  | 0.104  | 0.104  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7622/moderate                | 3.020  | 3.020  | 3.020   | 3.020  | 3.020  | 3.020  | 3.020  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/saitotakuma1/icon                  | 0.016  | 0.016  | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/satomi900/icon                     | 0.016  | 0.016  | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/akemi600/icon                      | 0.176  | 0.176  | 0.176   | 0.176  | 0.176  | 0.176  | 0.176  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/sayuri230/icon                     | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/tanakashohei0/icon                 | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/sotaro880/icon                     | 0.080  | 0.080  | 0.080   | 0.080  | 0.080  | 0.080  | 0.080  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/hiroshitanaka0/icon                | 0.020  | 0.020  | 0.020   | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7590/moderate                | 3.180  | 3.180  | 3.180   | 3.180  | 3.180  | 3.180  | 3.180  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7539/moderate                | 2.936  | 2.936  | 2.936   | 2.936  | 2.936  | 2.936  | 2.936  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7590/report                  | 0.016  | 0.016  | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7590/ngwords                 | 0.040  | 0.040  | 0.040   | 0.040  | 0.040  | 0.040  | 0.040  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/lito0/icon                         | 0.020  | 0.020  | 0.020   | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7539/ngwords                 | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7599/moderate                | 3.356  | 3.356  | 3.356   | 3.356  | 3.356  | 3.356  | 3.356  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7571/moderate                | 2.712  | 2.712  | 2.712   | 2.712  | 2.712  | 2.712  | 2.712  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7537/ngwords                 | 0.032  | 0.032  | 0.032   | 0.032  | 0.032  | 0.032  | 0.032  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/minoru110/icon                     | 0.196  | 0.196  | 0.196   | 0.196  | 0.196  | 0.196  | 0.196  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7535/ngwords                 | 0.032  | 0.032  | 0.032   | 0.032  | 0.032  | 0.032  | 0.032  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/nanami990/icon                     | 0.024  | 0.024  | 0.024   | 0.024  | 0.024  | 0.024  | 0.024  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7505/report                  | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7505/livecomment             | 0.016  | 0.016  | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 1659.000  | 1659.000   | 1659.000     | 1659.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7505/livecomment             | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 1757.000  | 1757.000   | 1757.000     | 1757.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7505/livecomment/1004/report | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 2341.000  | 2341.000   | 2341.000     | 2341.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7514/ngwords                 | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/oyoshida0/icon                     | 0.040  | 0.040  | 0.040   | 0.040  | 0.040  | 0.040  | 0.040  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
